Make,Model,Platform / generation number,European / World classification,Production years,American classification,Model Years (US/Canada),Country of origin,Sold in Europe,Sold in North America,Sold in India,Units produced,Notes
CAR MODELS LIST - Worldwide version,,,,,,,,,,,,
BMW,"5-Series, M5",E28,Large car,1981-1988,Mid-size car,MY 1982-1988,Germany,Europe,America,no,722328,
BMW,"5-Series, M5",E34,Large car,1988-1996,Mid-size car,MY 1989-1996,Germany,Europe,America,no,1333412,
BMW,"5-Series, M5",E39,Large car,1995-2004,Mid-size car,MY 1997-2003,Germany,Europe,America,no,,
BMW,"5-Series, M5","E60, E61",Large car,2003-2011,Mid-size car,MY 2004-2009,Germany,Europe,America,India,,
BMW,"5-Series, M5","F10, F11, ",Large car,2009-2017,Mid-size car,MY 2010-2016,Germany,Europe,America,India,,
BMW,"5-Series, M5","G30, G31",Large car,2017-____,Mid-size car,MY 2017-____,Germany,Europe,America,India,,
BMW,5-Series GT,F07,Large car,2009-2017,Mid-size car,MY 2010-2017,Germany,Europe,America,India,,
BMW,6-Series GT,G32,Large car,2017-____,Mid-size car,MY 2018-____,Germany,Europe,America,India,,
BMW,New Six CS,E9,Large sports car,1968-1975,Grand tourer,MY 1968-1973,Germany,Europe,America,no,,
BMW,"6-Series, M6",E24,Large sports car,1976-1989,Grand tourer,MY 1977-1989,Germany,Europe,America,no,86216,
BMW,8-Series,E31,Luxury sports car,1989-1998,Grand tourer,MY 1991-1997,Germany,Europe,America,no,31062,
BMW,"6-Series, M6","E63, E64",Large sports car,2003-2011,Grand tourer,MY 2004-2010,Germany,Europe,America,India,,
BMW,"6-Series, M6","F12, F13",Large sports car,2011-2018,Grand tourer,MY 2012-2018,Germany,Europe,America,India,,
BMW,8-Series,"G14, G15, G16",Luxury sports car,2018-____,Grand tourer,MY 2019-____,Germany,Europe,?,?,,
BMW,501,-,Luxury car,1952-1962,Full-size car,MY 1952-1961,Germany,Europe,America,no,,Old models post-war
BMW,502,-,Luxury car,1954-1964,Full-size car,MY 1954-1964,Germany,Europe,America,no,,
BMW,503,-,Luxury sports car,1956-1959,Full-size car,MY 1956-1959,Germany,Europe,America,no,,Old models post-war
BMW,3200 CS,-,Luxury sports car,1962-1965,Full-size car,MY 1962-1965,Germany,Europe,America,no,,Old models post-war
BMW,New Six,E3,Luxury car,1968-1977,Full-size car,MY 1971-1976,Germany,Europe,America,no,221991,
BMW,7-Series,E23,Luxury car,1977-1986,Full-size car,MY 1978-1987?,Germany,Europe,America,no,285029,
BMW,7-Series,E32,Luxury car,1986-1994,Full-size car,MY 1987?-1994,Germany,Europe,America,no,311068,
