RAGIONE SOCIALE,"RICAVI 2021 
(000 eur)","VAR. 21/20 
(%)","RISULT. 2021 
(000 eur)"
GAS PLUS VENDITE S.R.L.,41952,24,-2467
I.V.P.C. S.R.L. ,41772,311,45325
REVET S.P.A.,41715,"-1,2",1257
POWERCROP RUSSI S.R.L.,41025,23,8180
EN-GAS SRL,40984,"71,3",290
ECOAMBIENTE S.R.L.,40947,"2,9",802
SEAB SPA/AG,40936,"5,2",350
GESTIONE IMPIANTI E SE. ECO. CASERTANI SPA,40855,"2,9",293
BIO ENERGIA GUARCINO S.R.L.,40766,"20,2",-61
VICO S.R.L.,40753,"59,5",6385
A.AM.P.S. SPA,40634,"3,7",515
GRASSANO – SOCIETA’ PER AZIONI,40598,-12,4730
NOVA S.R.L.,40584,"71,4",1235
AMBIENTE ITALIA S.R.L.,40524,"2,3",22
EURENERGIA S.R.L.,40480,"176,5",12899
PEBO S.P.A.,39906,"45,9",3316
ASM VENDITA E SERVIZI S.R.L.,39894,"33,7",818
S.I.I. SCPA,39640,"-0,9",258
AZIENDA ENERGIA E GAS SC,39537,"34,8",444
CIDIU S.P.A.,39246,n.s.,821
ENERGYUP S.R.L.,39038,n.s.,-52
BIOGEN CHIVASSO S.R.L.,38962,"76,3",11075
ETAMBIENTE S.P.A.,38889,-1,1129
SYSTEMA AMBIENTE S.P.A.,38861,"6,3",4063
MERCURE S.R.L.,38836,"247,4",21740
TALETE S.P.A.,38794,"2,7",71
SO.MET. ENERGIA S.R.L.,38787,"46,6",1628
DECO S.P.A.,38634,"4,5",2298
PIAVE SERVIZI S.P.A.,38567,"3,9",1336
INXIEME ENERGIA S.R.L.,38467,"45,5",67
ECOTECNICA SRL,38458,"-2,4",49
EROGASMET S.P.A.,38398,"0,4",15406
CARBOGNANI CESARE METALLI S.P.A,38205,"121,4",750
DI LORENZO S.R.L.,38152,"106,3",733
FERCART S.R.L.,38149,"134,2",2963
FERROMETAL SRL,38114,"93,8",682
ACINQUE AMBIENTE S.R.L.,38092,13,1451
COGEI S.R.L.,38091,"-17,5",1800
C.I.S.A. SPA,38078,"10,9",5098
SIME ENERGIA S.R.L.,37816,"56,8",2139
FURIA S.R.L.,37651,"-1,9",2411
COGEME NUOVE ENERGIE SRL,37621,"198,1",143
NAVARRA S.P.A.,37359,"-17,5",4030
SERVIZI AMBIENTALI VENETO NO. OR. SPA,37316,"7,2",1267
ASTEA S.P.A.,37251,"10,3",10437
ASM SET S.R.L.,36915,"37,8",2906
S.E.VAL. SRL,36809,"37,1",2544
POWER ENERGIA SC,36745,"17,4",96
FERMET S.R.L.,36373,"22,8",1459
BIOREPACK CONSORZIO,36210,n.d.,22094
ERG EOLICA FOSSA DEL LUPO S.R.L.,36209,"212,5",28224
CONSORZIO NAZIONALE ACCIAIO,36176,"66,7",12405
STATION SERVICE SRL,36116,"124,2",1238
ECOGLASS SRL ,36062,"18,3",2838
METALFERRO S.R.L.,35892,"72,7",1221
SETA S.P.A.,35882,"3,8",1426
G.ECO S.R.L.,35824,"5,5",241
SERVIZI COMUNALI S.P.A.,35452,"16,8",2212
CAURUM S.R.L.,33552,n.d.,976
SOGESID S.P.A.,33131,117,-2268
POLIGRAND ENERGY S.P.A.,33040,"807,6",2274
JEN ENERGIA S.R.L.,31930,"59,1",422
GHEOS TRADE SPA,31720,"649,9",477
ERG EOLICA ADRIATICA S.R.L.,31344,"280,2",23407
TREEE S.R.L.,30670,"54,4",-3044
OV GROUP ENERGY S.P.A.,30401,"20,1",293
NOVAENERGY S.R.L.,29368,n.s.,1598
ILSAP S.R.L.,28890,"130,9",682
RI.PLASTIC S.P.A.,28641,"42,7",1773
THEMA ENERGIA S.R.L.,28489,"56,9",406
BIOMASSE CROTONE S.P.A.,28355,"213,7",22976
BONIFICHE SER. AMBIENTALI S.R.L.,28239,n.s.,-16999
ARGO METAL SRL,27728,89,15
SER1 S.P.A.,27631,"285,3",19657
GAXA SPA,27464,"12,6",-2032
PROGEST S.P.A.,27332,"26,2",5193
