"PRENOTAZIONE","NINGRESSO","Titolo","Autore ","Casa editrice","Disponibilità","CDD","ABBREVIAZ","SOGGETTO","ISBN","PAGINE","LUOGOEDIZ","COLLANA","ULTIMOAGG","ANNO_ED","PROGRESSIVO"
,"U03793","Manciu'","Elegant, Robert S.","Bompiani","LIBRO DISPONIBILE","813.5","ELE",,," 572","Milano","I grandi, 29",19/09/2002,"1989",3793
,"U03794","Storia d'Italia dal 1861 al 1969","Mac Smith, Denis","Laterza","LIBRO DISPONIBILE","945.09","MAC","1.Italia-Storia-1861-1969",," 806","Roma-Bari","Collezione storica",19/09/2002,"1972",3794
,"U03795","Giglio della valle, Il","Balzac, Honore de","CDE","LIBRO DISPONIBILE","843.7","BAL",,," 351","Milano","Caleidoscopio, 64",06/09/2002,"1972",3795
,"U03796","Monte Oriol","Maupassant, Guy de","CDE","LIBRO DISPONIBILE","843.8","MAU",,," 293","Milano",,05/09/2002,"1969",3796
,"U03797","Uomo che ride, L'","Hugo, Victor","CDE","LIBRO DISPONIBILE","843.8","HUG",,," 295","Milano","Caleidoscopio, 69",04/09/2002,"1959",3797
,"U03798","Scelte d'amore","Klein, Norma","Rusconi","LIBRO DISPONIBILE","813.5","KLE",,," 284","Milano",,25/08/2002,"1994",3798
,"U03799","Servizio speciale","Dos Passos, John","Mondadori","LIBRO DISPONIBILE","823.9","DOS",,," 324","Milano","I Record, 45",25/08/2002,"1967",3799
,"U03800","Cento pagine piu' belle, Le","Dostoevskij, Fedor Mihajlovic","CDE","LIBRO DISPONIBILE","891.733","DOS",,," 128","Milano",,05/09/2002,"1981",3800
,"U03801","Segreti del generale Thompson, I","Daninos, Pierre","Mondadori","LIBRO DISPONIBILE","847.9","DAN",,," 234","Milano",,05/09/2002,"1970",3801
,"U03802","Leopardo, Il","Reid","Rizzoli","LIBRO DISPONIBILE","813.5","REI",,," 179","Milano","Zodiaco",01/09/2002,"1959",3802
,"U03803","Scritti teatrali","Brecht, Bertolt","Einaudi","LIBRO DISPONIBILE","792.01","BRE","1.Teatro-Saggi",," 248","Torino","Piccola Biblioteca Einaudi, 154",11/09/2002,"1962",3803
,"U03804","Onorevole scolaro, L'","Le Carrè, John","CDE","LIBRO DISPONIBILE","823.9","LEC",,," 553","Milano",,05/09/2002,"1978",3804
,"U03805","Tre uomini a zonzo","Jerome, Jerome Klapka","Mursia","LIBRO DISPONIBILE","R  F","JER",,,"   0","Milano","Strenne Corticelli, 56",02/11/2002,"1962",3805
,"U03806","Mio figlio ha dieci anni","O'Shaughnessy, Edna","Armando","LIBRO DISPONIBILE","155.42","OSH","1.Psicologia infantile, 2.Fanciulli-Sviluppo psichico",," 124","Roma",,23/09/2002,"1989",3806
,"U03807","Magico potere della vostra mente, Il","Germain, Walter Montgomery","Euroclub","LIBRO DISPONIBILE","158","GER","1.Relazioni interpersonali",," 283","Milano",,09/09/2002,"1983",3807
,"U03808","Profumo, Il","Suskind, Patrick","Euroclub","LIBRO DISPONIBILE","833.9","SUS",,," 259","Milano",,01/09/2002,"1985",3808
,"U03809","Giganti","Doblin, Alfred","CDE","LIBRO DISPONIBILE","833.9","DOB",,," 353","Milano","Collana '900, 140",05/09/2002,"1974",3809
,"U03810","Ricco e il giusto, Il","Van Slyke, Helen","CDE","LIBRO DISPONIBILE","813.5","VAN",,," 366","Milano",,01/09/2002,"1980",3810
,"U03811","Dove brucia il sole","Bickmore, Barbara","CDE","LIBRO DISPONIBILE","813.5","BIC",,," 525","Milano",,06/09/2002,"1992",3811
,"U03812","Segno sul braccio, Il","Marghieri, Clotilde","Vallecchi","LIBRO DISPONIBILE","853.9","MAR",,," 208","Firenze","Narratori, 58",23/09/2002,"1970",3812
,"U03813","Arte di sognare, L'","Castaneda, Carlos","Rizzoli","LIBRO DISPONIBILE","299","CAS","1.Religioni-Indiani Yaqui, 2.Sogno",," 265","Milano","La Scala",22/08/2002,"1993",3813
,"U03814","Strano caso della famiglia Walker: come i segreti della marina americana arrivarono al KGB, Lo","Blum, Howard","Mondadori","LIBRO DISPONIBILE","327.1","BLU","1.Spionaggio e controspionaggio-Stati Uniti d'America-1968-1985, 2.Walker, Johnny",," 410","Milano","Le Scie",06/09/2002,"1988",3814
,"U03815","Uccello del sole, L'","Smith, Wilbur","Euroclub","LIBRO DISPONIBILE","823.9","SMI",,," 463","Milano",,30/09/2002,"1981",3815
,"U03816","Console onorario, Il","Greene, Graham","CDE","LIBRO DISPONIBILE","823.9","GRE",,," 326","Milano",,28/09/2002,"1973",3816
,"U03817","Impossibile dimenticare","Bai","Euroclub","LIBRO DISPONIBILE","843.9","BAI",,," 139","Milano",,07/09/2002,"1995",3817
